in update mr0: q=0.50, mr0=0.96, mult0=0.02, mr1=0.0000, mult1=0.0000, spec_accs_cnt=1000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.96, mult0=0.02, mr1=0.0000, mult1=0.0000, spec_accs_cnt=2000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.96, mult0=0.02, mr1=0.0000, mult1=0.0000, spec_accs_cnt=3000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.96, mult0=0.02, mr1=0.0000, mult1=0.0000, spec_accs_cnt=4000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.95, mult0=0.02, mr1=0.0000, mult1=0.0000, spec_accs_cnt=5000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.95, mult0=0.02, mr1=0.0000, mult1=0.0000, spec_accs_cnt=6000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.94, mult0=0.03, mr1=0.0000, mult1=0.0000, spec_accs_cnt=7000, reg_accs_cnt=0
advertising
in update mr0: q=0.05, mr0=0.96, mult0=0.04, mr1=0.0010, mult1=0.0001, spec_accs_cnt=1000, reg_accs_cnt=86
in update mr0: q=0.05, mr0=0.96, mult0=0.03, mr1=0.0010, mult1=0.0001, spec_accs_cnt=2000, reg_accs_cnt=125
in update mr0: q=0.05, mr0=0.96, mult0=0.04, mr1=0.0010, mult1=0.0001, spec_accs_cnt=3000, reg_accs_cnt=209
in update mr0: q=0.06, mr0=0.95, mult0=0.05, mr1=0.0010, mult1=0.0001, spec_accs_cnt=4000, reg_accs_cnt=311
in update mr0: q=0.07, mr0=0.93, mult0=0.07, mr1=0.0010, mult1=0.0001, spec_accs_cnt=5000, reg_accs_cnt=404
in update mr0: q=0.07, mr0=0.91, mult0=0.08, mr1=0.0010, mult1=0.0001, spec_accs_cnt=6000, reg_accs_cnt=526
in update mr0: q=0.08, mr0=0.89, mult0=0.10, mr1=0.0010, mult1=0.0001, spec_accs_cnt=7000, reg_accs_cnt=658
in update mr0: q=0.08, mr0=0.89, mult0=0.10, mr1=0.0010, mult1=0.0001, spec_accs_cnt=8000, reg_accs_cnt=736
in update mr0: q=0.07, mr0=0.89, mult0=0.10, mr1=0.0010, mult1=0.0001, spec_accs_cnt=9000, reg_accs_cnt=791
in update mr0: q=0.06, mr0=0.89, mult0=0.11, mr1=0.0010, mult1=0.0001, spec_accs_cnt=10000, reg_accs_cnt=808
in update mr0: q=0.05, mr0=0.89, mult0=0.11, mr1=0.0010, mult1=0.0000, spec_accs_cnt=11000, reg_accs_cnt=857
in update mr0: q=0.06, mr0=0.89, mult0=0.10, mr1=0.0010, mult1=0.0001, spec_accs_cnt=12000, reg_accs_cnt=940
in update mr1: q=0.05, mr0=0.89, mult0=0.10, mr1=0.0008, mult1=0.0000, spec_accs_cnt=12580, reg_accs_cnt=1000
in update mr0: q=0.07, mr0=0.89, mult0=0.10, mr1=0.0008, mult1=0.0001, spec_accs_cnt=13000, reg_accs_cnt=1079
in update mr0: q=0.08, mr0=0.87, mult0=0.12, mr1=0.0008, mult1=0.0001, spec_accs_cnt=14000, reg_accs_cnt=1277
in update mr0: q=0.09, mr0=0.88, mult0=0.11, mr1=0.0008, mult1=0.0001, spec_accs_cnt=15000, reg_accs_cnt=1348
in update mr0: q=0.08, mr0=0.89, mult0=0.10, mr1=0.0008, mult1=0.0001, spec_accs_cnt=16000, reg_accs_cnt=1420
in update mr0: q=0.06, mr0=0.88, mult0=0.11, mr1=0.0008, mult1=0.0000, spec_accs_cnt=17000, reg_accs_cnt=1445
in update mr0: q=0.06, mr0=0.89, mult0=0.10, mr1=0.0008, mult1=0.0000, spec_accs_cnt=18000, reg_accs_cnt=1476
in update mr0: q=0.05, mr0=0.87, mult0=0.12, mr1=0.0008, mult1=0.0000, spec_accs_cnt=19000, reg_accs_cnt=1490
in update mr0: q=0.04, mr0=0.83, mult0=0.16, mr1=0.0008, mult1=0.0000, spec_accs_cnt=20000, reg_accs_cnt=1503
calling from mr0
advertising
in update mr0: q=0.07, mr0=0.96, mult0=0.04, mr1=0.0010, mult1=0.0001, spec_accs_cnt=1000, reg_accs_cnt=206
in update mr0: q=0.08, mr0=0.97, mult0=0.03, mr1=0.0010, mult1=0.0001, spec_accs_cnt=2000, reg_accs_cnt=457
in update mr0: q=0.10, mr0=0.97, mult0=0.03, mr1=0.0010, mult1=0.0001, spec_accs_cnt=3000, reg_accs_cnt=647
in update mr1: q=0.14, mr0=0.97, mult0=0.02, mr1=0.0008, mult1=0.0001, spec_accs_cnt=3682, reg_accs_cnt=1000
in update mr0: q=0.16, mr0=0.96, mult0=0.03, mr1=0.0008, mult1=0.0001, spec_accs_cnt=4000, reg_accs_cnt=1239
in update mr0: q=0.17, mr0=0.95, mult0=0.04, mr1=0.0008, mult1=0.0001, spec_accs_cnt=5000, reg_accs_cnt=1678
in update mr1: q=0.19, mr0=0.95, mult0=0.04, mr1=0.0006, mult1=0.0001, spec_accs_cnt=5648, reg_accs_cnt=2000
in update mr0: q=0.19, mr0=0.95, mult0=0.04, mr1=0.0006, mult1=0.0001, spec_accs_cnt=6000, reg_accs_cnt=2385
in update mr0: q=0.19, mr0=0.93, mult0=0.05, mr1=0.0006, mult1=0.0001, spec_accs_cnt=7000, reg_accs_cnt=2643
in update mr0: q=0.17, mr0=0.91, mult0=0.07, mr1=0.0006, mult1=0.0001, spec_accs_cnt=8000, reg_accs_cnt=2935
in update mr1: q=0.17, mr0=0.91, mult0=0.07, mr1=0.0004, mult1=0.0001, spec_accs_cnt=8271, reg_accs_cnt=3000
in update mr0: q=0.18, mr0=0.90, mult0=0.09, mr1=0.0004, mult1=0.0001, spec_accs_cnt=9000, reg_accs_cnt=3341
in update mr0: q=0.16, mr0=0.89, mult0=0.09, mr1=0.0004, mult1=0.0001, spec_accs_cnt=10000, reg_accs_cnt=3566
in update mr0: q=0.16, mr0=0.89, mult0=0.10, mr1=0.0004, mult1=0.0001, spec_accs_cnt=11000, reg_accs_cnt=3729
in update mr0: q=0.14, mr0=0.85, mult0=0.13, mr1=0.0004, mult1=0.0001, spec_accs_cnt=12000, reg_accs_cnt=3889
in update mr1: q=0.13, mr0=0.85, mult0=0.13, mr1=0.0003, mult1=0.0000, spec_accs_cnt=12461, reg_accs_cnt=4000
in update mr0: q=0.13, mr0=0.85, mult0=0.13, mr1=0.0003, mult1=0.0000, spec_accs_cnt=13000, reg_accs_cnt=4129
calling from mr0
advertising
in update mr0: q=0.17, mr0=0.96, mult0=0.03, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=567
in update mr1: q=0.22, mr0=0.96, mult0=0.03, mr1=0.0008, mult1=0.0002, spec_accs_cnt=1252, reg_accs_cnt=1000
in update mr0: q=0.23, mr0=0.95, mult0=0.04, mr1=0.0008, mult1=0.0002, spec_accs_cnt=2000, reg_accs_cnt=1579
in update mr1: q=0.22, mr0=0.95, mult0=0.04, mr1=0.0016, mult1=0.0003, spec_accs_cnt=2772, reg_accs_cnt=2000
