in update mr1: q=0.24, mr0=0.86, mult0=0.11, mr1=0.0004, mult1=0.0001, reg accs cnt=3000
in update mr0: q=0.24, mr0=0.85, mult0=0.12, mr1=0.0004, mult1=0.0001, reg accs cnt=3164
in update mr0: q=0.24, mr0=0.85, mult0=0.12, mr1=0.0004, mult1=0.0001, reg accs cnt=3584
in update mr0: q=0.24, mr0=0.85, mult0=0.12, mr1=0.0004, mult1=0.0001, reg accs cnt=3983
in update mr1: q=0.24, mr0=0.85, mult0=0.12, mr1=0.0003, mult1=0.0001, reg accs cnt=4000
in update mr0: q=0.24, mr0=0.84, mult0=0.12, mr1=0.0003, mult1=0.0001, reg accs cnt=4386
in update mr0: q=0.23, mr0=0.84, mult0=0.12, mr1=0.0003, mult1=0.0001, reg accs cnt=4763
in update mr1: q=0.23, mr0=0.84, mult0=0.12, mr1=0.0002, mult1=0.0001, reg accs cnt=5000
in update mr0: q=0.25, mr0=0.84, mult0=0.12, mr1=0.0002, mult1=0.0001, reg accs cnt=5276
in update mr0: q=0.24, mr0=0.85, mult0=0.12, mr1=0.0002, mult1=0.0001, reg accs cnt=5654
in update mr1: q=0.23, mr0=0.85, mult0=0.12, mr1=0.0002, mult1=0.0000, reg accs cnt=6000
in update mr0: q=0.24, mr0=0.84, mult0=0.12, mr1=0.0002, mult1=0.0000, reg accs cnt=6058
in update mr0: q=0.23, mr0=0.84, mult0=0.12, mr1=0.0002, mult1=0.0000, reg accs cnt=6428
in update mr0: q=0.23, mr0=0.84, mult0=0.13, mr1=0.0002, mult1=0.0000, reg accs cnt=6825
in update mr1: q=0.23, mr0=0.84, mult0=0.13, mr1=0.0001, mult1=0.0000, reg accs cnt=7000
in update mr0: q=0.23, mr0=0.84, mult0=0.12, mr1=0.0001, mult1=0.0000, reg accs cnt=7245
in update mr0: q=0.23, mr0=0.84, mult0=0.13, mr1=0.0001, mult1=0.0000, reg accs cnt=7664
in update mr1: q=0.23, mr0=0.84, mult0=0.13, mr1=0.0001, mult1=0.0000, reg accs cnt=8000
in update mr0: q=0.23, mr0=0.83, mult0=0.13, mr1=0.0001, mult1=0.0000, reg accs cnt=8059
calling from mr0
advertising
in update mr0: q=0.23, mr0=0.93, mult0=0.05, mr1=0.0010, mult1=0.0002, reg accs cnt=437
in update mr0: q=0.24, mr0=0.91, mult0=0.07, mr1=0.0010, mult1=0.0002, reg accs cnt=939
in update mr1: q=0.24, mr0=0.91, mult0=0.07, mr1=0.0008, mult1=0.0002, reg accs cnt=1000
in update mr0: q=0.25, mr0=0.89, mult0=0.08, mr1=0.0008, mult1=0.0002, reg accs cnt=1411
in update mr0: q=0.24, mr0=0.87, mult0=0.09, mr1=0.0008, mult1=0.0002, reg accs cnt=1827
in update mr1: q=0.24, mr0=0.87, mult0=0.09, mr1=0.0006, mult1=0.0001, reg accs cnt=2000
in update mr0: q=0.24, mr0=0.86, mult0=0.10, mr1=0.0006, mult1=0.0001, reg accs cnt=2212
in update mr0: q=0.24, mr0=0.85, mult0=0.11, mr1=0.0006, mult1=0.0001, reg accs cnt=2714
in update mr1: q=0.25, mr0=0.85, mult0=0.11, mr1=0.0004, mult1=0.0001, reg accs cnt=3000
in update mr0: q=0.25, mr0=0.85, mult0=0.11, mr1=0.0004, mult1=0.0001, reg accs cnt=3127
in update mr0: q=0.24, mr0=0.85, mult0=0.12, mr1=0.0004, mult1=0.0001, reg accs cnt=3573
in update mr0: q=0.24, mr0=0.85, mult0=0.12, mr1=0.0004, mult1=0.0001, reg accs cnt=3998
in update mr1: q=0.24, mr0=0.85, mult0=0.12, mr1=0.0003, mult1=0.0001, reg accs cnt=4000
in update mr0: q=0.24, mr0=0.85, mult0=0.12, mr1=0.0003, mult1=0.0001, reg accs cnt=4394
in update mr0: q=0.24, mr0=0.85, mult0=0.11, mr1=0.0003, mult1=0.0001, reg accs cnt=4875
in update mr1: q=0.25, mr0=0.85, mult0=0.11, mr1=0.0002, mult1=0.0001, reg accs cnt=5000
in update mr0: q=0.24, mr0=0.84, mult0=0.12, mr1=0.0002, mult1=0.0001, reg accs cnt=5282
in update mr0: q=0.24, mr0=0.84, mult0=0.12, mr1=0.0002, mult1=0.0001, reg accs cnt=5691
in update mr1: q=0.23, mr0=0.84, mult0=0.12, mr1=0.0002, mult1=0.0000, reg accs cnt=6000
in update mr0: q=0.24, mr0=0.84, mult0=0.12, mr1=0.0002, mult1=0.0000, reg accs cnt=6122
