in update mr0: q=0.17, mr0=0.92, mult0=0.07, mr1=0.0006, mult1=0.0001, spec_accs_cnt=13000, reg_accs_cnt=3443
in update mr0: q=0.16, mr0=0.92, mult0=0.07, mr1=0.0006, mult1=0.0001, spec_accs_cnt=14000, reg_accs_cnt=3613
in update mr0: q=0.15, mr0=0.91, mult0=0.08, mr1=0.0006, mult1=0.0001, spec_accs_cnt=15000, reg_accs_cnt=3751
in update mr0: q=0.14, mr0=0.89, mult0=0.10, mr1=0.0006, mult1=0.0001, spec_accs_cnt=16000, reg_accs_cnt=3902
in update mr1: q=0.13, mr0=0.89, mult0=0.10, mr1=0.0004, mult1=0.0001, spec_accs_cnt=16827, reg_accs_cnt=4000
in update mr0: q=0.13, mr0=0.86, mult0=0.12, mr1=0.0004, mult1=0.0001, spec_accs_cnt=17000, reg_accs_cnt=4053
in update mr0: q=0.13, mr0=0.88, mult0=0.11, mr1=0.0004, mult1=0.0001, spec_accs_cnt=18000, reg_accs_cnt=4297
in update mr0: q=0.15, mr0=0.88, mult0=0.10, mr1=0.0004, mult1=0.0001, spec_accs_cnt=19000, reg_accs_cnt=4533
in update mr1: q=0.19, mr0=0.88, mult0=0.09, mr1=0.0003, mult1=0.0001, spec_accs_cnt=19983, reg_accs_cnt=5000
in update mr0: q=0.19, mr0=0.89, mult0=0.09, mr1=0.0003, mult1=0.0001, spec_accs_cnt=20000, reg_accs_cnt=5011
in update mr0: q=0.18, mr0=0.88, mult0=0.09, mr1=0.0003, mult1=0.0001, spec_accs_cnt=21000, reg_accs_cnt=5335
in update mr0: q=0.18, mr0=0.90, mult0=0.09, mr1=0.0003, mult1=0.0001, spec_accs_cnt=22000, reg_accs_cnt=5627
in update mr0: q=0.18, mr0=0.90, mult0=0.08, mr1=0.0003, mult1=0.0001, spec_accs_cnt=23000, reg_accs_cnt=5917
in update mr1: q=0.18, mr0=0.90, mult0=0.08, mr1=0.0002, mult1=0.0000, spec_accs_cnt=23358, reg_accs_cnt=6000
in update mr0: q=0.18, mr0=0.90, mult0=0.08, mr1=0.0002, mult1=0.0000, spec_accs_cnt=24000, reg_accs_cnt=6128
in update mr0: q=0.16, mr0=0.89, mult0=0.10, mr1=0.0002, mult1=0.0000, spec_accs_cnt=25000, reg_accs_cnt=6319
in update mr0: q=0.15, mr0=0.89, mult0=0.10, mr1=0.0002, mult1=0.0000, spec_accs_cnt=26000, reg_accs_cnt=6538
in update mr0: q=0.14, mr0=0.88, mult0=0.10, mr1=0.0002, mult1=0.0000, spec_accs_cnt=27000, reg_accs_cnt=6724
in update mr1: q=0.14, mr0=0.88, mult0=0.10, mr1=0.0054, mult1=0.0008, spec_accs_cnt=27975, reg_accs_cnt=7000
in update mr0: q=0.14, mr0=0.89, mult0=0.10, mr1=0.0054, mult1=0.0008, spec_accs_cnt=28000, reg_accs_cnt=7007
in update mr0: q=0.15, mr0=0.89, mult0=0.09, mr1=0.0054, mult1=0.0008, spec_accs_cnt=29000, reg_accs_cnt=7202
in update mr0: q=0.13, mr0=0.90, mult0=0.09, mr1=0.0054, mult1=0.0007, spec_accs_cnt=30000, reg_accs_cnt=7318
in update mr0: q=0.13, mr0=0.91, mult0=0.08, mr1=0.0054, mult1=0.0007, spec_accs_cnt=31000, reg_accs_cnt=7547
in update mr0: q=0.14, mr0=0.91, mult0=0.07, mr1=0.0054, mult1=0.0007, spec_accs_cnt=32000, reg_accs_cnt=7721
in update mr0: q=0.14, mr0=0.91, mult0=0.08, mr1=0.0054, mult1=0.0008, spec_accs_cnt=33000, reg_accs_cnt=7952
in update mr1: q=0.14, mr0=0.91, mult0=0.08, mr1=0.0163, mult1=0.0022, spec_accs_cnt=33267, reg_accs_cnt=8000
in update mr0: q=0.14, mr0=0.91, mult0=0.08, mr1=0.0163, mult1=0.0023, spec_accs_cnt=34000, reg_accs_cnt=8195
in update mr0: q=0.15, mr0=0.91, mult0=0.07, mr1=0.0163, mult1=0.0025, spec_accs_cnt=35000, reg_accs_cnt=8489
in update mr0: q=0.16, mr0=0.89, mult0=0.09, mr1=0.0163, mult1=0.0026, spec_accs_cnt=36000, reg_accs_cnt=8745
in update mr1: q=0.16, mr0=0.89, mult0=0.09, mr1=0.0332, mult1=0.0053, spec_accs_cnt=36991, reg_accs_cnt=9000
in update mr0: q=0.16, mr0=0.90, mult0=0.08, mr1=0.0332, mult1=0.0053, spec_accs_cnt=37000, reg_accs_cnt=9003
in update mr0: q=0.17, mr0=0.90, mult0=0.08, mr1=0.0332, mult1=0.0055, spec_accs_cnt=38000, reg_accs_cnt=9261
in update mr0: q=0.16, mr0=0.90, mult0=0.09, mr1=0.0332, mult1=0.0053, spec_accs_cnt=39000, reg_accs_cnt=9513
in update mr0: q=0.17, mr0=0.90, mult0=0.09, mr1=0.0332, mult1=0.0055, spec_accs_cnt=40000, reg_accs_cnt=9807
in update mr1: q=0.17, mr0=0.90, mult0=0.09, mr1=0.0619, mult1=0.0106, spec_accs_cnt=40590, reg_accs_cnt=10000
in update mr0: q=0.17, mr0=0.89, mult0=0.09, mr1=0.0619, mult1=0.0108, spec_accs_cnt=41000, reg_accs_cnt=10170
in update mr0: q=0.17, mr0=0.89, mult0=0.09, mr1=0.0619, mult1=0.0106, spec_accs_cnt=42000, reg_accs_cnt=10363
in update mr0: q=0.16, mr0=0.88, mult0=0.10, mr1=0.0619, mult1=0.0097, spec_accs_cnt=43000, reg_accs_cnt=10481
in update mr0: q=0.14, mr0=0.87, mult0=0.11, mr1=0.0619, mult1=0.0088, spec_accs_cnt=44000, reg_accs_cnt=10637
in update mr0: q=0.16, mr0=0.88, mult0=0.10, mr1=0.0619, mult1=0.0102, spec_accs_cnt=45000, reg_accs_cnt=10932
in update mr1: q=0.16, mr0=0.88, mult0=0.10, mr1=0.1004, mult1=0.0166, spec_accs_cnt=45312, reg_accs_cnt=11000
