in update mr0: q=0.50, mr0=0.96, mult0=0.02, mr1=0.0000, mult1=0.0000, spec_accs_cnt=1000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.96, mult0=0.02, mr1=0.0000, mult1=0.0000, spec_accs_cnt=2000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.96, mult0=0.02, mr1=0.0000, mult1=0.0000, spec_accs_cnt=3000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.96, mult0=0.02, mr1=0.0000, mult1=0.0000, spec_accs_cnt=4000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.95, mult0=0.02, mr1=0.0000, mult1=0.0000, spec_accs_cnt=5000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.95, mult0=0.02, mr1=0.0000, mult1=0.0000, spec_accs_cnt=6000, reg_accs_cnt=0
in update mr0: q=0.50, mr0=0.94, mult0=0.03, mr1=0.0000, mult1=0.0000, spec_accs_cnt=7000, reg_accs_cnt=0
advertising
in update mr0: q=0.05, mr0=0.96, mult0=0.04, mr1=0.0010, mult1=0.0001, spec_accs_cnt=1000, reg_accs_cnt=89
in update mr0: q=0.05, mr0=0.96, mult0=0.04, mr1=0.0010, mult1=0.0001, spec_accs_cnt=2000, reg_accs_cnt=127
in update mr0: q=0.05, mr0=0.96, mult0=0.04, mr1=0.0010, mult1=0.0001, spec_accs_cnt=3000, reg_accs_cnt=207
in update mr0: q=0.06, mr0=0.95, mult0=0.05, mr1=0.0010, mult1=0.0001, spec_accs_cnt=4000, reg_accs_cnt=318
in update mr0: q=0.07, mr0=0.93, mult0=0.07, mr1=0.0010, mult1=0.0001, spec_accs_cnt=5000, reg_accs_cnt=405
in update mr0: q=0.07, mr0=0.91, mult0=0.08, mr1=0.0010, mult1=0.0001, spec_accs_cnt=6000, reg_accs_cnt=523
in update mr0: q=0.07, mr0=0.89, mult0=0.10, mr1=0.0010, mult1=0.0001, spec_accs_cnt=7000, reg_accs_cnt=657
in update mr0: q=0.08, mr0=0.88, mult0=0.11, mr1=0.0010, mult1=0.0001, spec_accs_cnt=8000, reg_accs_cnt=738
in update mr0: q=0.07, mr0=0.88, mult0=0.11, mr1=0.0010, mult1=0.0001, spec_accs_cnt=9000, reg_accs_cnt=791
in update mr0: q=0.06, mr0=0.88, mult0=0.11, mr1=0.0010, mult1=0.0001, spec_accs_cnt=10000, reg_accs_cnt=809
in update mr0: q=0.05, mr0=0.88, mult0=0.11, mr1=0.0010, mult1=0.0000, spec_accs_cnt=11000, reg_accs_cnt=855
in update mr0: q=0.06, mr0=0.88, mult0=0.11, mr1=0.0010, mult1=0.0001, spec_accs_cnt=12000, reg_accs_cnt=938
in update mr1: q=0.05, mr0=0.88, mult0=0.11, mr1=0.0008, mult1=0.0000, spec_accs_cnt=12607, reg_accs_cnt=1000
in update mr0: q=0.07, mr0=0.89, mult0=0.11, mr1=0.0008, mult1=0.0001, spec_accs_cnt=13000, reg_accs_cnt=1076
in update mr0: q=0.08, mr0=0.86, mult0=0.13, mr1=0.0008, mult1=0.0001, spec_accs_cnt=14000, reg_accs_cnt=1270
in update mr0: q=0.09, mr0=0.88, mult0=0.11, mr1=0.0008, mult1=0.0001, spec_accs_cnt=15000, reg_accs_cnt=1345
in update mr0: q=0.08, mr0=0.88, mult0=0.11, mr1=0.0008, mult1=0.0001, spec_accs_cnt=16000, reg_accs_cnt=1410
in update mr0: q=0.06, mr0=0.88, mult0=0.12, mr1=0.0008, mult1=0.0000, spec_accs_cnt=17000, reg_accs_cnt=1438
in update mr0: q=0.06, mr0=0.88, mult0=0.11, mr1=0.0008, mult1=0.0000, spec_accs_cnt=18000, reg_accs_cnt=1465
in update mr0: q=0.04, mr0=0.86, mult0=0.13, mr1=0.0008, mult1=0.0000, spec_accs_cnt=19000, reg_accs_cnt=1481
in update mr0: q=0.04, mr0=0.82, mult0=0.17, mr1=0.0008, mult1=0.0000, spec_accs_cnt=20000, reg_accs_cnt=1491
calling from mr0
advertising
in update mr0: q=0.07, mr0=0.96, mult0=0.04, mr1=0.0010, mult1=0.0001, spec_accs_cnt=1000, reg_accs_cnt=229
in update mr0: q=0.08, mr0=0.97, mult0=0.03, mr1=0.0010, mult1=0.0001, spec_accs_cnt=2000, reg_accs_cnt=468
in update mr0: q=0.10, mr0=0.97, mult0=0.03, mr1=0.0010, mult1=0.0001, spec_accs_cnt=3000, reg_accs_cnt=642
in update mr1: q=0.14, mr0=0.97, mult0=0.02, mr1=0.0008, mult1=0.0001, spec_accs_cnt=3639, reg_accs_cnt=1000
in update mr0: q=0.16, mr0=0.96, mult0=0.03, mr1=0.0008, mult1=0.0001, spec_accs_cnt=4000, reg_accs_cnt=1190
in update mr0: q=0.18, mr0=0.95, mult0=0.04, mr1=0.0008, mult1=0.0001, spec_accs_cnt=5000, reg_accs_cnt=1689
in update mr1: q=0.18, mr0=0.95, mult0=0.04, mr1=0.0006, mult1=0.0001, spec_accs_cnt=5481, reg_accs_cnt=2000
in update mr0: q=0.20, mr0=0.95, mult0=0.04, mr1=0.0006, mult1=0.0001, spec_accs_cnt=6000, reg_accs_cnt=2407
in update mr0: q=0.19, mr0=0.94, mult0=0.05, mr1=0.0006, mult1=0.0001, spec_accs_cnt=7000, reg_accs_cnt=2691
in update mr0: q=0.18, mr0=0.91, mult0=0.07, mr1=0.0006, mult1=0.0001, spec_accs_cnt=8000, reg_accs_cnt=2998
in update mr1: q=0.18, mr0=0.91, mult0=0.07, mr1=0.0007, mult1=0.0001, spec_accs_cnt=8042, reg_accs_cnt=3000
in update mr0: q=0.18, mr0=0.90, mult0=0.08, mr1=0.0007, mult1=0.0001, spec_accs_cnt=9000, reg_accs_cnt=3418
in update mr0: q=0.17, mr0=0.89, mult0=0.09, mr1=0.0007, mult1=0.0001, spec_accs_cnt=10000, reg_accs_cnt=3639
in update mr0: q=0.16, mr0=0.88, mult0=0.10, mr1=0.0007, mult1=0.0001, spec_accs_cnt=11000, reg_accs_cnt=3800
in update mr0: q=0.14, mr0=0.85, mult0=0.13, mr1=0.0007, mult1=0.0001, spec_accs_cnt=12000, reg_accs_cnt=3971
in update mr1: q=0.14, mr0=0.85, mult0=0.13, mr1=0.0005, mult1=0.0001, spec_accs_cnt=12293, reg_accs_cnt=4000
in update mr0: q=0.13, mr0=0.84, mult0=0.14, mr1=0.0005, mult1=0.0001, spec_accs_cnt=13000, reg_accs_cnt=4184
calling from mr0
advertising
in update mr0: q=0.18, mr0=0.96, mult0=0.03, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=601
in update mr1: q=0.19, mr0=0.96, mult0=0.03, mr1=0.0013, mult1=0.0002, spec_accs_cnt=1221, reg_accs_cnt=1000
in update mr0: q=0.24, mr0=0.95, mult0=0.04, mr1=0.0013, mult1=0.0003, spec_accs_cnt=2000, reg_accs_cnt=1639
in update mr1: q=0.23, mr0=0.95, mult0=0.04, mr1=0.0022, mult1=0.0005, spec_accs_cnt=2585, reg_accs_cnt=2000
